,Unnamed: 0,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비_x,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능,풀네임,주행,가격,거주성,품질,디자인,연비_y,종합점수,연도,차이름,브랜드,배기량_num,차급
115,123,2019 렉서스 IS F 스포츠,l4,싱글터보,가솔린,"1,998cc",245hp,35.7kg.m,,170g/km,"4,680mm / 1,810mm","1,430mm / 2,800mm","1,535mm / 1,550mm","1,670kg",225mm / 40 / 18inch,255mm / 35 / 18inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2019 렉서스 IS F 스포츠,9.3,8.4,8.2,9.6,9.3,7.0,8.6,2019,렉서스 IS F 스포츠,렉서스,1.0,경차
116,124,2016 맥스크루즈,I4 직분사 디젤,싱글터보,디젤,"2,199cc",202hp,45kg.m,,163g/km,"4,905mm / 1,885mm","1,690mm / 2,800mm","1,628mm / 1,639mm","1,895kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2016 현대 맥스크루즈,9.2,8.8,9.4,9.1,9.0,7.7,8.9,2016,현대 맥스크루즈,현대,2.0,경차
123,131,2022 스타리아 캠퍼,I4,싱글터보,디젤,"2,199cc",177hp,44kg.m,,,"5,255mm / 1,995mm","2,095mm / 3,275mm","1,721mm / 1,732mm",,235mm / 55 / 18inch,235mm / 55 / 18inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2022 현대 스타리아 캠퍼,8.9,7.6,8.7,8.2,8.8,6.9,8.2,2022,현대 스타리아 캠퍼,현대,2.0,경차
124,132,2024 BMW X5,I6,싱글터보,디젤,"2,993cc",286hp 합산 298hp,66.3kg.m,,165g/km,"4,935mm / 1,970mm","1,755~1,765mm / 2,975mm","1,679mm / 1,688mm","2,430~2,505kg",275mm / 40 / 21inch,315mm / 35 / 21inch,상시사륜 구동,자동8단,더블 위시본,5 링크,V디스크,V디스크,랙 앤 피니언,,,,,,233km/h,6.1~6.3초,2024 BMW X5,9.8,8.2,9.2,9.6,9.7,8.5,9.2,2024,BMW X5,BMW,2.0,경차
127,135,2024 스타리아 하이브리드,I4,싱글터보,가솔린,"1,598cc",178hp 합산 232hp,27kg.m,,125g/km,"5,255mm / 1,995mm","2,000mm / 3,275mm","1,732mm / 1,716mm","1,985~2,050kg",215mm / 65 / 17inch,215mm / 65 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2024 현대 스타리아 하이브리드,8.8,8.1,9.9,9.2,9.5,9.5,9.2,2024,현대 스타리아 하이브리드,현대,1.0,경차
129,137,2017 메르세데스-벤츠 GLS,V6,싱글터보,디젤,"2,987cc",258hp,63.2kg.m,,207g/km,"5,130mm / 1,980mm","1,880mm / 3,075mm","1,655mm / 1,675mm","2,455kg",295mm / 40 / 21inch,295mm / 40 / 21inch,상시사륜 구동,자동9단,더블 위시본,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,222km/h,7.8초,2017 메르세데스-벤츠 GLS,8.9,8.0,9.4,9.1,8.6,7.0,8.5,2017,메르세데스-벤츠 GLS,메르세데스-벤츠,2.0,경차
130,138,2021 테슬라 모델 S,,,전기,,,,,,"5,021mm / 1,987mm","1,431mm / 2,960mm",,"2,070kg",245mm / 45 / 19inch,245mm / 45 / 19inch,상시사륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,500kW670.5hp (단순환산치),,526km,100kWh,리튬 이온,240km/h,3.2초,2021 테슬라 모델 S,9.9,8.8,9.3,8.4,9.6,9.5,9.2,2021,테슬라 모델 S,테슬라,,대형/프리미엄
131,139,2018 BMW M4 컨버터블,l6,트윈터보,가솔린,"2,979cc",450hp,56.1kg.m,,,"4,670mm / 1,870mm","1,390mm / 2,812mm","1,579mm / 1,603mm","1,875kg",265mm / 30 / 20inch,285mm / 30 / 20inch,앞엔진 후륜 구동,DCT7단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.3초,2018 BMW M4 컨버터블,9.6,8.9,8.2,9.0,9.6,7.8,8.8,2018,BMW M4 컨버터블,BMW,2.0,경차
134,142,2018 아이오닉 하이브리드 ,l4,자연흡기,가솔린,"1,580cc",105hp,15kg.m,,69g/km,"4,470mm / 1,820mm","1,450mm / 2,700mm","1,563mm / 1,549mm","1,380kg",,,앞엔진 전륜 구동,DCT6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2018 현대 아이오닉 하이브리드,9.0,8.8,8.2,8.8,8.6,9.8,8.8,2018,현대 아이오닉 하이브리드,현대,1.0,경차
135,144,2023 포터2 일렉트릭,,,전기,,,,,,"5,105mm / 1,740mm","1,970mm / 2,810mm","1,485mm / 1,320mm","1,930kg",195mm / 70 / 15inch,145mm / 0 / 13inch,뒤엔진 후륜 구동,자동1단,,,디스크,디스크,랙 앤 피니언,135kW181.0hp (단순환산치),395Nm40.3kg.m (단순환산치),211km,58.8kWh,리튬 이온,,,2023 현대 포터2 일렉트릭,9.0,7.7,7.7,8.2,7.6,7.0,7.5,2023,현대 포터2 일렉트릭,현대,,대형/프리미엄
136,145,2018 벨로스터,l4,싱글터보,가솔린,"1,353cc",140hp,24.7kg.m,,127g/km,"4,240mm / 1,800mm","1,400mm / 2,650mm","1,561mm / 1,575mm","1,285kg",215~225mm / 40~45 / 17~18inch,215~225mm / 40~45 / 17~18inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,,2018 현대 벨로스터,9.4,8.4,6.4,7.7,9.4,7.9,8.2,2018,현대 벨로스터,현대,1.0,경차
140,150,2017 엑센트,l4,자연흡기,가솔린,"1,368cc",100hp,13.6kg.m,,115~122g/km,"4,370mm / 1,705mm","1,455mm / 2,570mm","1,488~1,506mm / 1,493~1,511mm","1,070~1,105kg",175~195mm / 50~70 / 14~16inch,175~195mm / 50~70 / 14~16inch,앞엔진 전륜 구동,"수동6단, CVT",맥퍼슨 스트럿,토션빔 액슬,디스크,디스크,랙 앤 피니언,,,,,,,,2017 현대 엑센트,8.7,9.0,8.0,8.2,8.2,8.8,8.5,2017,현대 엑센트,현대,1.0,경차
144,154,2020 쏘나타 하이브리드,I4,자연흡기,가솔린,"1,999cc",152hp 합산 195hp,19.2kg.m,,79~83g/km,"4,900mm / 1,860mm","1,445mm / 2,840mm","1,623~1,633mm / 1,630~1,640mm","1,495~1,505kg",205~215mm / 55~65 / 16~17inch,205~215mm / 55~65 / 16~17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2020 현대 쏘나타 하이브리드,9.2,8.1,9.0,8.7,8.1,9.5,8.8,2020,현대 쏘나타 하이브리드,현대,1.0,경차
148,158,2024 BMW 7시리즈,I6,싱글터보,디젤,"2,993cc",299hp,68.3kg.m,,153g/km,"5,390mm / 1,950mm","1,545mm / 3,215mm",,"2,315kg",255mm / 45 / 20inch,285mm / 40 / 20inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,5.8초,2024 BMW 7시리즈,9.9,9.2,9.7,9.9,9.9,9.6,9.7,2024,BMW 7시리즈,BMW,2.0,경차
152,162,2018 렉서스 GS,l4,싱글터보,가솔린,"1,998cc",245hp,35.7kg.m,,170g/km,"4,880mm / 1,840mm","1,455mm / 2,850mm","1,575mm / 1,590mm","1,730kg",235mm / 45 / 18inch,235mm / 45 / 18inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2018 렉서스 GS,9.6,9.5,8.5,10.0,9.5,7.9,9.2,2018,렉서스 GS,렉서스,1.0,경차
153,163,2020 렉서스 NX F 스포츠,l4,싱글터보,가솔린,"1,998cc",238hp,35.7kg.m,,186g/km,"4,640mm / 1,845mm","1,645mm / 2,660mm","1,580mm / 1,580mm","1,840kg",225mm / 60 / 18inch,225mm / 60 / 18inch,상시사륜 구동,자동6단,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,,2020 렉서스 NX F 스포츠,9.1,8.5,9.1,9.7,9.4,8.8,9.1,2020,렉서스 NX F 스포츠,렉서스,1.0,경차
155,166,2021 쏘나타 하이브리드,I4,자연흡기,가솔린,"1,999cc",152hp 합산 195hp,19.2kg.m,,79~83g/km,"4,900mm / 1,860mm","1,445mm / 2,840mm","1,623~1,633mm / 1,630~1,640mm","1,495~1,515kg",205~215mm / 55~65 / 16~17inch,205~215mm / 55~65 / 16~17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2021 현대 쏘나타 하이브리드,9.2,8.1,9.0,8.7,8.1,9.5,8.8,2021,현대 쏘나타 하이브리드,현대,1.0,경차
157,169,2014 렉서스 GS F 스포츠,V6 3.5,,가솔린,"3,456cc",310hp,38.2kg.m,,185g/km,"4,845mm / 1,840mm","1,455mm / 2,850mm","1,575mm / 1,590mm","1,720kg",235mm / 40 / 19inch,235mm / 40 / 19inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2014 렉서스 GS F 스포츠,9.4,8.6,8.6,9.8,8.9,7.7,8.8,2014,렉서스 GS F 스포츠,렉서스,3.0,경차
158,170,2016 렉서스 RC F,V8,자연흡기,가솔린,"4,969cc",473hp,53.7kg.m,,222g/km,"4,705mm / 1,845mm","1,390mm / 2,730mm","1,555mm / 1,560mm","1,825kg",255mm / 35 / 19inch,275mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2016 렉서스 RC F,9.7,6.8,8.3,10.0,9.7,4.5,8.2,2016,렉서스 RC F,렉서스,4.0,경차
162,174,2023 BMW 1시리즈,I4,싱글터보,가솔린,"1,998cc",192hp,28.6kg.m,,154g/km,"4,320mm / 1,800mm","1,435mm / 2,690mm","1,565mm / 1,565mm","1,490kg",225mm / 40~45 / 17~18inch,225mm / 40~45 / 17~18inch,앞엔진 전륜 구동,토크컨버터8단,싱글 조인트 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,235km/h,7초,2023 BMW 1시리즈,9.5,8.6,8.3,9.2,9.4,8.6,9.0,2023,BMW 1시리즈,BMW,1.0,경차
163,175,2021 메르세데스-AMG GLA,I6,트윈터보,가솔린,"2,999cc",435hp,53kg.m,,220g/km,"4,935mm / 2,015mm","1,780mm / 2,995mm","1,693mm / 1,720mm","2,530kg",275mm / 45 / 21inch,315mm / 40 / 21inch,상시사륜 구동,자동9단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,5.3초,2021 메르세데스-벤츠 AMG GLA,9.6,8.1,8.7,9.4,9.6,8.0,8.9,2021,메르세데스-벤츠 AMG GLA,메르세데스-벤츠,2.0,경차
164,176,2015 프라이드,I4,자연흡기,가솔린,"1,396cc",108hp,13.9kg.m,,117~129g/km,"4,045mm / 1,720mm","1,455mm / 2,570mm","1,521~1,720mm / 1,525~1,720mm","1,050~1,077kg",175~185mm / 65~70 / 14~15inch,175~185mm / 65~70 / 14~15inch,앞엔진 전륜 구동,"수동6단, 자동4단",맥퍼슨 스트럿,토션빔 액슬,디스크,디스크,랙 앤 피니언,,,,,,,,2015 기아 프라이드,8.4,9.0,8.0,8.6,8.7,8.4,8.5,2015,기아 프라이드,기아,1.0,경차
166,178,2020 BMW 8시리즈 그란쿠페,I6,싱글터보,가솔린,"2,998cc",340hp,51kg.m,,183g/km,"5,075mm / 1,930mm","1,410mm / 3,023mm","1,627mm / 1,671mm","1,965kg",245mm / 35 / 20inch,275mm / 30 / 20inch,상시사륜 구동,토크컨버터8단,더블 위시본,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.9초,2020 BMW 8시리즈 그란쿠페,9.9,9.2,9.2,9.8,9.9,7.6,9.3,2020,BMW 8시리즈 그란쿠페,BMW,2.0,경차
167,179,2022 BMW iX3,,,전기,,,,,,"4,735mm / 1,890mm","1,675mm / 2,865mm","1,616mm / 1,598mm","2,210kg",245mm / 45 / 20inch,275mm / 40 / 20inch,뒤엔진 후륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,213kW285.6hp (단순환산치),400Nm40.8kg.m (단순환산치),344km,80kWh,리튬 이온,180km/h,6.8초,2022 BMW iX3,9.9,9.2,9.5,9.7,9.8,8.7,9.5,2022,BMW iX3,BMW,,대형/프리미엄
168,180,2024 카니발,I4,싱글터보,디젤,"2,151cc",194hp,45kg.m,,146g/km,"5,155mm / 1,995mm","1,775mm / 3,090mm","1,741mm / 1,741mm","2,150kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2024 기아 카니발,9.2,7.9,9.4,8.7,9.5,7.3,8.7,2024,기아 카니발,기아,2.0,경차
169,181,2021 메르세데스-벤츠 GLA,I4,싱글터보,가솔린,"1,991cc",190hp,30.6kg.m,,150g/km,"4,440mm / 1,835mm","1,620mm / 2,730mm","1,590mm / 1,592mm","1,580kg",235mm / 55 / 18inch,235mm / 55 / 18inch,앞엔진 전륜 구동,DCT8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,222km/h,7.8초,2021 메르세데스-벤츠 GLA,9.6,8.1,8.7,9.4,9.6,8.0,8.9,2021,메르세데스-벤츠 GLA,메르세데스-벤츠,1.0,경차
170,182,2014 투싼,I4 2.0,싱글터보,디젤,"1,995cc",184hp,39~41kg.m,,136~143g/km,"4,410mm / 1,820mm","1,655~1,685mm / 2,640mm","1,585mm / 1,586mm","1,548~1,579kg",225mm / 55~60 / 17~18inch,225mm / 55~60 / 17~18inch,앞엔진 전륜 구동,"수동6단, 자동6단",맥퍼슨 스트럿,멀티링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,,,2014 현대 투싼,8.9,8.8,8.5,8.6,8.7,8.1,8.6,2014,현대 투싼,현대,1.0,경차
171,184,2016 렉서스 LS,V8,자연흡기,가솔린,"4,608cc",380hp,51kg.m,,226g/km,"5,090mm / 1,875mm","1,465mm / 2,970mm","1,610mm / 1,615mm","2,030kg",235mm / 50 / 18inch,235mm / 50 / 18inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2016 렉서스 LS,9.6,7.9,9.4,9.6,9.1,7.3,8.8,2016,렉서스 LS,렉서스,4.0,경차
173,186,2022 BMW 7시리즈,I6,싱글터보,디젤,"2,993cc",265hp,63.2kg.m,,150g/km,"5,120mm / 1,902mm","1,467mm / 3,070mm","1,617mm / 1,646mm","1,880kg",245mm / 40 / 20inch,275mm / 35 / 20inch,상시사륜 구동,자동8단,더블 위시본,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,5.8초,2022 BMW 7시리즈,9.8,8.8,9.3,9.5,9.4,9.1,9.3,2022,BMW 7시리즈,BMW,2.0,경차
175,189,2020 BMW M2,l6,트윈터보,가솔린,"2,979cc",450hp,56.1kg.m,,184g/km,"4,468mm / 1,854mm","1,410mm / 2,693mm","1,579mm / 1,601mm","1,590kg",245mm / 35 / 19inch,265mm / 35 / 19inch,앞엔진 후륜 구동,DCT7단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,280km/h,4초,2020 BMW M2,9.8,9.4,7.9,8.8,9.6,7.0,8.8,2020,BMW M2,BMW,2.0,경차
185,199,2019 쏘나타,I4,싱글터보,가솔린,"1,591cc",180hp,27kg.m,,122~127g/km,"4,900mm / 1,860mm","1,445mm / 2,840mm","1,633mm / 1,640mm","1,420~1,460kg",215~235mm / 45~55 / 17~18inch,215~235mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,,2019 현대 쏘나타,8.8,8.5,9.0,8.6,8.3,8.3,8.6,2019,현대 쏘나타,현대,1.0,경차
187,201,2020 렉서스 LC 하이브리드,V6,자연흡기,가솔린,"3,456cc",299hp 합산 359hp,35.7kg.m,,155g/km,"4,760mm / 1,920mm","1,345mm / 2,870mm","1,630mm / 1,635mm","2,010kg",245mm / 40 / 21inch,275mm / 35 / 21inch,앞엔진 후륜 구동,CVT,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,,2020 렉서스 LC 하이브리드,10.0,7.7,10.0,10.0,10.0,7.3,9.2,2020,렉서스 LC 하이브리드,렉서스,3.0,경차
188,202,2023 BMW Z4,I4,싱글터보,가솔린,"1,998cc",197hp,32.6kg.m,,159g/km,"4,325mm / 1,865mm","1,300mm / 2,470mm","1,593mm / 1,588mm","1,525kg",255mm / 35 / 19inch,275mm / 35 / 19inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,240km/h,6.6초,2023 BMW Z4,9.5,9.2,7.2,9.4,9.6,8.6,8.9,2023,BMW Z4,BMW,1.0,경차
189,203,2019 아반떼,l4,자연흡기,가솔린,"1,598cc",123hp,15.7kg.m,,108~119g/km,"4,620mm / 1,800mm","1,440mm / 2,700mm","1,555~1,563mm / 1,564~1,572mm","1,230~1,290kg",0~205mm / 0~65 / 15~17inch,0~205mm / 0~65 / 15~17inch,앞엔진 전륜 구동,"수동6단, CVT",맥퍼슨 스트럿,토션빔,V디스크,디스크,랙 앤 피니언,,,,,,,,2019 현대 아반떼,9.1,9.3,8.6,8.8,7.8,9.1,8.8,2019,현대 아반떼,현대,1.0,경차
190,204,2021 메르세데스-EQ EQA,,,전기,,,,,,"4,465mm / 1,835mm","1,625mm / 2,729mm","1,603mm / 1,601mm","1,985kg",235mm / 55 / 18inch,235mm / 55 / 18inch,앞엔진 전륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,140kW187.7hp (단순환산치),375Nm38.2kg.m (단순환산치),306km,66.5kWh,리튬 이온,160km/h,8.9초,2021 메르세데스-벤츠 EQA,9.9,9.1,9.3,9.8,9.8,9.7,9.4,2021,메르세데스-벤츠 EQA,메르세데스-벤츠,,대형/프리미엄
