,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능
1640,2025 BMW X5,I6,싱글터보,디젤,"2,993cc",286hp 합산 298hp,66.3kg.m,"복합 11.6km/ℓ 도심 10.7km/ℓ, 고속 13.1km/ℓ",165g/km,"4,935mm / 1,970mm","1,755~1,765mm / 2,975mm","1,679mm / 1,688mm","2,430~2,505kg",275mm / 40 / 21inch,315mm / 35 / 21inch,상시사륜 구동,자동8단,더블 위시본,5 링크,V디스크,V디스크,랙 앤 피니언,,,,,,233km/h,6.1~6.3초
1641,2022 SM6,I4,싱글터보,가솔린,"1,332cc",156hp,26.5kg.m,"복합 13.3~13.6km/ℓ 도심 11.9~12.1km/ℓ, 고속 15.7~16km/ℓ",121~123g/km,"4,855mm / 1,870mm","1,460mm / 2,810mm","1,615mm / 1,610mm","1,420~1,450kg",205~245mm / 45~65 / 16~18inch,205~245mm / 45~65 / 16~18inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,토션빔,V디스크,디스크,랙 앤 피니언,,,,,,,
1642,2026 카니발,V6,자연흡기,가솔린,"3,470cc",294hp,36.2kg.m,"복합 9km/ℓ 도심 7.8km/ℓ, 고속 10.9km/ℓ",189g/km,"5,155mm / 1,995mm","1,775mm / 3,090mm","1,741mm / 1,741mm","2,115kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1643,2008 베라크루즈,V형 6기통 E-VGT,,디젤,"2,959cc",240hp,46kg.m,"복합 11km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,840mm / 1,945mm","1,750mm / 2,805mm","1,670mm / 1,670mm","2,030kg",245mm / 60~65 / 17~18inch,245mm / 60~65 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,190km/h,
1644,2024 BMW X4 M,I6,트윈터보,가솔린,"2,993cc",510hp,66.3kg.m,"복합 7.8km/ℓ 도심 6.8km/ℓ, 고속 9.3km/ℓ",222g/km,"4,755mm / 1,925mm","1,620mm / 2,865mm","1,617mm / 1,632mm","2,050kg",255mm / 40 / 21inch,265mm / 40 / 21inch,상시사륜 구동,토크컨버터8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.8초
1645,2016 SM5,l4,자연흡기,가솔린,"1,998cc",141hp,19.8kg.m,"복합 12.6km/ℓ 도심 11.5km/ℓ, 고속 14.1km/ℓ",138g/km,"4,885mm / 1,860mm","1,485mm / 2,760mm","1,565mm / 1,565mm","1,415kg",205mm / 60 / 16inch,205mm / 60 / 16inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1646,2013 렉서스 ES,V6 3.5,,가솔린,"3,456cc",277hp,35.3kg.m,"복합 10.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",173g/km,"4,900mm / 1,820mm","1,450mm / 2,820mm","1,590mm / 1,575mm","1,630kg",215~225mm / 45~55 / 17~18inch,215~225mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,듀얼 링크,V디스크,V디스크,랙 앤 피니언,,,,,,210km/h,7.1초
1647,2024 QM6,I4,자연흡기,가솔린,"1,997cc",144hp,20.4kg.m,"복합 11.6~12km/ℓ 도심 10.6~11.1km/ℓ, 고속 13.1~13.5km/ℓ",140~146g/km,"4,675mm / 1,845mm","1,700mm / 2,705mm","1,595mm / 1,590mm","1,535~1,570kg",225mm / 55~65 / 17~19inch,225mm / 55~65 / 17~19inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
1648,2010 에쿠스,V6,자연흡기,가솔린,"3,778cc",290hp,36~36.5kg.m,"복합 9~9.3km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",252g/km,"5,160mm / 1,900mm","1,490~1,495mm / 3,045mm","1,616~1,625mm / 1,633~1,641mm","1,875kg",235~245mm / 50~55 / 17~18inch,235~245mm / 50~55 / 17~18inch,앞엔진 후륜 구동,자동6단,"멀티링크 코일스프링,0","멀티링크 코일스프링,0",V디스크,V디스크,랙 앤 피니언,,,,,,,
1649,2025 BMW 3시리즈,I4,싱글터보,가솔린,"1,998cc",190hp,31.6kg.m,"복합 12.2km/ℓ 도심 10.9km/ℓ, 고속 14.2km/ℓ",137g/km,"4,715mm / 1,825mm","1,440mm / 2,850mm","0~1,583mm / 0~1,598mm","1,728kg",225mm / 45 / 18inch,225mm / 45 / 18inch,앞엔진 후륜 구동,자동8단,더블 조인트 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,235km/h,7.3초
1650,2014 렉서스 ES 하이브리드,I4,자연흡기,가솔린,"2,494cc",158hp 합산 200hp,21.6kg.m,"복합 16.4km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",103g/km,"4,900mm / 1,820mm","1,450mm / 2,820mm","1,590mm / 1,575mm","1,685kg",215mm / 55 / 17inch,215mm / 55 / 17inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,멀티 링크,V디스크,V디스크,랙 앤드 피니언,,,,,,180km/h,8.1초
1651,2019 BMW Z4,l4,싱글터보,가솔린,"1,998cc",197hp,32.6kg.m,,,"4,324mm / 1,864mm","1,304mm / 2,470mm","1,609mm / 1,616mm","1,491kg",,,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,,,랙 앤 피니언,,,,,,250km/h,6.6초
1652,2025 캐스퍼 일렉트릭,,,전기,,,,"복합 5.1~5.8km/kWh 도심 5.7~6.5km/kWh, 고속 4.6~5.1km/kWh",,"3,825~3,845mm / 1,610mm","1,575~1,610mm / 2,580mm","1,402~1,414mm / 1,413~1,425mm","1,300~1,370kg",185~205mm / 45~65 / 15~17inch,185~205mm / 45~65 / 15~17inch,앞엔진 전륜 구동,자동1단,맥퍼슨 스트럿,토션 빔,디스크,디스크,랙 앤 피니언,71.1~84.5kW95.3~113.3hp (단순환산치),147Nm15.0kg.m (단순환산치),278~315km,42~49kWh,리튬 이온,,
1653,2025 테슬라 모델 3,,,전기,,,,"복합 5.7km/kWh 도심 6km/kWh, 고속 5.3km/kWh",,"4,720mm / 1,935mm","1,440mm / 2,875mm","1,585mm / 1,585mm","1,760kg",235mm / 45 / 18inch,235mm / 45 / 18inch,뒤엔진 후륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,208kW278.9hp (단순환산치),420Nm42.8kg.m (단순환산치),382km,59.6kWh,리튬 인산철,200km/h,6.1초
1654,2017 카니발 하이리무진,l4 디젤 직분사,싱글터보,디젤,"2,199cc",202hp,45kg.m,"복합 10.3km/ℓ 도심 9.4km/ℓ, 고속 11.5km/ℓ",197g/km,"5,115mm / 1,985mm","2,040mm / 3,060mm","1,735mm / 1,742mm","2,158kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,토크컨버터6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1655,2024 K8 하이브리드,I4,싱글터보,가솔린,"1,598cc",180hp 합산 230hp,27kg.m 합산 35.7kg.m,"복합 17.1~18km/ℓ 도심 17.2~18.2km/ℓ, 고속 16.9~17.7km/ℓ",88~94g/km,"5,015mm / 1,875mm","1,455mm / 2,895mm","1,626~1,631mm / 1,632~1,638mm","1,630~1,650kg",225~245mm / 45~55 / 17~18inch,225~245mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1656,2023 메르세데스-AMG EQS,,,전기,,,,"복합 3.2km/kWh 도심 3.2km/kWh, 고속 3.3km/kWh",,"5,220mm / 1,925mm","1,510mm / 3,210mm","1,661mm / 1,677mm","2,665kg",275mm / 35 / 22inch,275mm / 35 / 22inch,상시사륜 구동,자동1단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,484kW649.0hp (단순환산치),950Nm96.9kg.m (단순환산치),404km,107.8kWh,리튬 이온,210km/h,3.8초
1657,2016 BMW M2,l6,싱글터보,가솔린,"2,979cc",370hp,47.4kg.m,"복합 9.4km/ℓ 도심 8.4km/ℓ, 고속 11.1km/ℓ",,"4,468mm / 1,854mm","1,410mm / 2,693mm","1,579mm / 1,601mm","1,590kg",245mm / 35 / 19inch,265mm / 35 / 19inch,앞엔진 후륜 구동,DCT7단,맥퍼슨 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.3초
1658,2019 BMW i8,l3,싱글터보,전기,"1,499cc",231hp 합산 374hp,32.7kg.m,"복합 14.2km/ℓ 도심 13.3km/ℓ, 고속 15.2km/ℓ",42g/km,"4,689mm / 1,942mm","1,291mm / 2,800mm","1,644mm / 1,723mm","1,485kg",215mm / 45 / 20inch,245mm / 40 / 20inch,상시사륜 구동,자동6단,더블위시본,멀티링크,V디스크,V디스크,전자식,71.587kW96.0hp (단순환산치),"2,451.663Nm250.0kg.m (단순환산치)",25km,11.6kWh,리튬 이온,250km/h,4.4초
1659,2021 그랜저,I4,자연흡기,가솔린,"2,497cc",198hp,25.3kg.m,"복합 11.1~11.9km/ℓ 도심 9.7~10.3km/ℓ, 고속 13.4~14.6km/ℓ",142~153g/km,"4,990mm / 1,875mm","1,470mm / 2,885mm","1,602~1,612mm / 1,610~1,620mm","1,575~1,625kg",225~245mm / 40~55 / 17~19inch,225~245mm / 40~55 / 17~19inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1660,2020 BMW X4 M,I6,트윈터보,가솔린,"2,993cc",480~510hp,61.2kg.m,"복합 7.1~9.5km/ℓ 도심 6.2~7.4km/ℓ, 고속 8.7~11km/ℓ",239~247g/km,"4,758~4,760mm / 1,925~1,927mm","1,618~1,620mm / 2,864mm","1,623mm / 1,632mm","1,970~2,050kg",255mm / 40~45 / 20~21inch,265mm / 40~45 / 20~21inch,상시사륜 구동,토크컨버터8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.1~4.2초
1661,2015 QM5,"I4, I4",자연흡기,가솔린,"1,998cc",143hp,20.1kg.m,"복합 10.6km/ℓ 도심 10km/ℓ, 고속 11.4km/ℓ",166g/km,"4,525mm / 1,855mm","1,695mm / 2,690mm","1,545mm / 1,550mm","1,570kg",225mm / 55~60 / 17~18inch,225mm / 55~60 / 17~18inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,멀티 링크,V디스크,V디스크,랙 앤드 피니언,,,,,,,
1662,2009 모하비,V형 6기통 VGT,,디젤,"2,959cc",250hp,55kg.m,"복합 11.1km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",242g/km,"4,880mm / 1,915mm","1,810mm / 2,895mm","1,615~1,630mm / 1,625~1,640mm","2,055kg",245~265mm / 60~70 / 17~18inch,245~265mm / 60~70 / 17~18inch,앞엔진 후륜 구동,자동6단,더블 위시본,멀티링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,,
1663,2011 BMW 1시리즈 쿠페,I4 2.0,,디젤,"1,995cc",177hp,35.7kg.m,"복합 16.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",163g/km,"4,360mm / 1,748mm","1,423mm / 2,660mm","1,474mm / 1,507mm","1,420kg",205mm / 50~55 / 16~17inch,205~225mm / 45~55 / 16~17inch,앞엔진 후륜 구동,자동6단,맥퍼슨 스트럿,5링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,224km/h,7.8초
1664,2025 싼타페,I4,싱글터보,가솔린,"2,497cc",281hp,43kg.m,"복합 10~11km/ℓ 도심 8.8~9.6km/ℓ, 고속 12~13.4km/ℓ",152~168g/km,"4,830mm / 1,900mm","1,720~1,780mm / 2,815mm","1,643~1,646mm / 1,653~1,656mm","1,795~1,865kg",235~245mm / 45~60 / 18~21inch,235~245mm / 45~60 / 18~21inch,앞엔진 전륜 구동,DCT8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1665,1990 세이블,V6,,가솔린,"2,986cc",140hp,22.1kg.m,"복합 9km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,880mm / 1,800mm","1,380mm / 2,690mm","1,565mm / 1,535mm","1,450kg",205mm / 65 / 15inch,205mm / 65 / 15inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,맥퍼슨 스트럿,디스크,디스크,랙 앤 피니언,,,,,,181km/h,12초
1666,2023 BMW M3 투어링,I6,트윈터보,가솔린,"2,993cc",510hp,66.3kg.m,"복합 8.1km/ℓ 도심 7km/ℓ, 고속 9.9km/ℓ",213g/km,"4,800mm / 1,905mm","1,445mm / 2,855mm",,"1,890kg",275mm / 35 / 19inch,285mm / 30 / 20inch,상시사륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.6초
1667,2026 아이오닉 5 N,,,전기,,,,"복합 3.7km/kWh 도심 4km/kWh, 고속 3.4km/kWh",,"4,715mm / 1,940mm","1,585mm / 3,000mm","1,667mm / 1,672mm","2,200kg",275mm / 35 / 21inch,275mm / 35 / 21inch,상시사륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,478kW641.0hp (단순환산치),770Nm78.5kg.m (단순환산치),351km,84kWh,리튬 이온,,
1668,2021 GV70,I4,싱글터보,디젤,"2,151cc",210hp,45kg.m,"복합 13.5km/ℓ 도심 12.1km/ℓ, 고속 15.6km/ℓ",141g/km,"4,715mm / 1,910mm","1,630mm / 2,875mm","1,651mm / 1,667mm","1,860kg",235mm / 60 / 18inch,235mm / 60 / 18inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
1669,2010 BMW M3 쿠페,V8,,가솔린,"3,999cc",420hp,40.8kg.m,"복합 7.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",312g/km,"4,615mm / 1,804mm","1,418mm / 2,761mm","1,538mm / 1,539mm","1,680kg",245mm / 35~40 / 18~19inch,265mm / 35~40 / 18~19inch,앞엔진 후륜 구동,자동7단,맥퍼슨 스트럿,5링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.6초
1670,2007 메르세데스-벤츠 CLS,V형 6기통,,가솔린,"3,498cc",272hp,35.7kg.m,"복합 8.7km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,910mm / 1,875mm","1,405mm / 2,855mm","1,595mm / 1,605mm","1,655kg",245mm / 40 / 18inch,245mm / 40 / 18inch,앞엔진 후륜 구동,자동7단,4링크 코일스프링,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,250km/h,7초
1671,2006 메르세데스-벤츠 SLK,직렬4기통,,가솔린,"1,796cc",163hp,24.5kg.m,"복합 10.4km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,082mm / 1,777mm","1,296mm / 2,430mm","1,530mm / 1,530mm","1,400kg",225mm / 45 / 17inch,245mm / 40 / 17inch,앞엔진 후륜 구동,자동5단,4링크 코일스프링,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,226km/h,8.3초
1672,2023 스팅어,I4,싱글터보,가솔린,"2,497cc",304hp,43kg.m,"복합 10.8~11.2km/ℓ 도심 9.7~9.8km/ℓ, 고속 12.4~13.4km/ℓ",151~156g/km,"4,830mm / 1,870mm","1,400mm / 2,905mm","1,596mm / 1,619~1,647mm","1,690~1,705kg",225mm / 40~45 / 18~19inch,225~255mm / 35~45 / 18~19inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1673,2023 K5 하이브리드,I4,자연흡기,가솔린,"1,999cc",152hp 합산 195hp,19.2kg.m,"복합 19.1~20.1km/ℓ 도심 18.8~19.9km/ℓ, 고속 19.3~20.2km/ℓ",79~83g/km,"4,905mm / 1,860mm","1,445mm / 2,850mm","1,623~1,633mm / 1,630~1,640mm","1,495~1,515kg",205~215mm / 55~65 / 16~17inch,205~215mm / 55~65 / 16~17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1674,2007 리베로,D4BH,,디젤,"2,476cc",103hp,23kg.m,"복합 11.3km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"5,415mm / 1,820mm","1,905mm / 3,280mm","1,570mm / 1,408mm","1,880kg",205mm / 70 / 15inch,205mm / 70 / 15inch,앞엔진 후륜 구동,수동5단,더블 위시본,리프 스프링,디스크,드럼,랙 앤 피니언,,,,,,,
1675,2015 BMW 5시리즈 투어링,I4 2.0,싱글터보,디젤,"1,995cc",184hp,38.8kg.m,"복합 16km/ℓ 도심 14.6km/ℓ, 고속 18.1km/ℓ",121g/km,"4,907mm / 1,860mm","1,462mm / 2,968mm","1,600mm / 1,626mm","1,640kg",225mm / 55 / 17inch,225mm / 55 / 17inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,228km/h,7.3초
1676,2015 메르세데스-벤츠 GLK,I4,트윈터보,디젤,"2,143cc",170hp,40.8kg.m,"복합 13.1km/ℓ 도심 12km/ℓ, 고속 14.8km/ℓ",151g/km,"4,535mm / 1,840mm","1,670mm / 2,755mm","1,595mm / 1,605mm","1,940kg",235mm / 60 / 17inch,235mm / 60 / 17inch,상시사륜 구동,자동7단,멀티링크/맥퍼슨,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,205km/h,8.8초
1677,2018 K7 하이브리드,l4,자연흡기,가솔린,"2,359cc",159hp,21kg.m,"복합 16.2km/ℓ 도심 0~16.1km/ℓ, 고속 0~16.2km/ℓ",97g/km,"4,970mm / 1,870mm","1,470mm / 2,855mm","1,612mm / 1,620mm","1,680kg",225mm / 55 / 17inch,225mm / 55 / 17inch,앞엔진 전륜 구동,자동6단,,,,,,,,,,,,
1678,2002 타우너 밴,CDL800 LPG,,LPG,796cc,35hp,5.5kg.m,"복합 22.4km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"3,360mm / 1,400mm","1,870mm / 1,810mm","1,205mm / 1,220mm",840kg,,,앞엔진 후륜 구동,수동5단,맥퍼슨 스트럿,리프 스프링,V디스크,드럼,랙 앤 피니언,,,,,,113km/h,
1679,2017 코나,l4,싱글터보,가솔린,"1,591cc",177hp,27kg.m,"복합 12.3~12.8km/ℓ 도심 0~11.4km/ℓ, 고속 0~14.9km/ℓ",128~134g/km,"4,165mm / 1,800mm","1,550~1,565mm / 2,600mm","1,559~1,575mm / 1,568~1,584mm","1,320~1,370kg",205~235mm / 45~60 / 16~18inch,205~235mm / 45~60 / 16~18inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,,,,,,,
1680,2022 메르세데스-벤츠 GLC,I4,싱글터보,디젤,"1,950cc",194hp,40.8kg.m,"복합 12.4km/ℓ 도심 11.7km/ℓ, 고속 13.3km/ℓ",154g/km,"4,670mm / 1,890mm","1,645mm / 2,875mm","1,617mm / 1,613mm","1,905kg",235mm / 55 / 19inch,235mm / 55 / 19inch,상시사륜 구동,자동9단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,215km/h,7.9초
1681,2015 그랜저 하이브리드,I4,자연흡기,가솔린,"2,359cc",159hp,21kg.m,"복합 16km/ℓ 도심 15.4km/ℓ, 고속 16.7km/ℓ",105g/km,"4,920mm / 1,860mm","1,470mm / 2,845mm","1,613mm / 1,614mm","1,680kg",225mm / 55 / 17inch,225mm / 55 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
1682,2013 메르세데스-벤츠 GLK,I4 2.2 CDI,,디젤,"2,143cc",170hp,40.8kg.m,"복합 13.1km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",151g/km,"4,525~4,536mm / 1,840mm","1,669~1,690mm / 2,755mm","1,570~1,574mm / 1,580~1,597mm","1,940~1,985kg",235mm / 60 / 17inch,235mm / 60 / 17inch,상시사륜 구동,자동7단,"3-링크, 맥퍼슨 스트럿",멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,205km/h,8.8초
1683,2015 프라이드 세단,I4,자연흡기,가솔린,"1,396cc",108hp,13.9kg.m,"복합 13.3~14.5km/ℓ 도심 12.1~13.6km/ℓ, 고속 15.3~15.6km/ℓ",117~129g/km,"4,370mm / 1,720mm","1,455mm / 2,570mm","1,720mm / 1,720mm","1,056~1,082kg",175~185mm / 65~70 / 14~15inch,175~185mm / 65~70 / 14~15inch,앞엔진 전륜 구동,"수동6단, 자동4단",맥퍼슨 스트럿,토션빔 액슬,디스크,디스크,랙 앤 피니언,,,,,,,
1684,2013 맥스크루즈,I4 2.2,싱글터보,디젤,"2,199cc",200hp,44.5kg.m,"복합 11.9km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",168g/km,"4,915mm / 1,885mm","1,700mm / 2,800mm","1,628mm / 1,639mm","1,840kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,
1685,2014 QM3,I4 직분사 디젤,,디젤,"1,461cc",90hp,22.4kg.m,"복합 18.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",103g/km,"4,122mm / 1,778mm","1,567mm",,,205mm / 55 / 17inch,205mm / 55 / 17inch,앞엔진 전륜 구동,S/T6단,,,,,랙 앤 피니언,,,,,,,
1686,2025 아이오닉 5 N,,,전기,,,,"복합 3.7km/kWh 도심 4km/kWh, 고속 3.4km/kWh",,"4,715mm / 1,940mm","1,585mm / 3,000mm","1,667mm / 1,672mm","2,200kg",275mm / 35 / 21inch,275mm / 35 / 21inch,상시사륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,478kW641.0hp (단순환산치),770Nm78.5kg.m (단순환산치),351km,84kWh,리튬 이온,,
1687,2011 QM5,2.0 dCi,,디젤,"1,995cc",150hp,32.6kg.m,"복합 13.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",195g/km,"4,520mm / 1,855mm","1,695~1,710mm / 2,690mm","1,545mm / 1,550mm","1,705kg",225mm / 60 / 17inch,225mm / 60 / 17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,,
1688,2023 GV70,I4,싱글터보,디젤,"2,151cc",202hp,45kg.m,"복합 13.5km/ℓ 도심 12.2km/ℓ, 고속 15.5km/ℓ",141g/km,"4,715mm / 1,910mm","1,630mm / 2,875mm","1,651mm / 1,667mm","1,895kg",235mm / 60 / 18inch,235mm / 60 / 18inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
1689,2015 BMW 2시리즈,I4 디젤 직분사,싱글터보,디젤,"1,995cc",190hp,40.8kg.m,"복합 17.5km/ℓ 도심 15.7km/ℓ, 고속 20.3km/ℓ",110g/km,"4,432mm / 1,774mm","1,418mm / 2,690mm","1,521mm / 1,556mm","1,390kg",225mm / 40 / 18inch,245mm / 35 / 18inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,230km/h,7.1초
1690,2020 BMW X6,I6,싱글터보,디젤,"2,993cc",265hp,63.3kg.m,"복합 10km/ℓ 도심 9.3km/ℓ, 고속 11.1km/ℓ",194g/km,"4,935mm / 2,004mm","1,696mm / 2,975mm","1,678mm / 1,688mm","2,245kg",275mm / 40~45 / 20~21inch,305~315mm / 35~40 / 20~21inch,상시사륜 구동,토크컨버터8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,230km/h,6.5초
1691,2016 BMW 5시리즈,I4 2.0,싱글터보,가솔린,"1,997cc",245hp,35.7kg.m,"복합 11.7km/ℓ 도심 10km/ℓ, 고속 14.6km/ℓ",150g/km,"4,907mm / 1,860mm","1,464mm / 2,968mm","1,600mm / 1,627mm","1,625kg",245mm / 45 / 18inch,245mm / 45 / 18inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,6.2초
1692,2023 렉서스 NX 하이브리드,I4,자연흡기,가솔린,"2,487cc",189hp 합산 242hp,24.7kg.m,"복합 14km/ℓ 도심 14.3km/ℓ, 고속 13.6km/ℓ",114g/km,"4,660mm / 1,865mm","1,670mm / 2,690mm","1,605mm / 1,625mm","1,850kg",235mm / 50 / 20inch,235mm / 50 / 20inch,상시사륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,
1693,2012 제네시스,3.3 GDi,,가솔린,"3,342cc",300hp,35.5kg.m,"복합 10.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",221g/km,"4,985mm / 1,890mm","1,480mm / 2,935mm","1,619mm / 1,635mm","1,750kg",225~235mm / 50~55 / 17~18inch,225~235mm / 50~55 / 17~18inch,앞엔진 후륜 구동,자동8단,멀티링크 코일스프링,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
1694,2013 BMW 3시리즈,I4 2.0,싱글터보,가솔린,"1,997cc",245hp,35.7kg.m,"복합 11.4km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",153g/km,"4,624mm / 1,811mm","1,429mm / 2,810mm","1,543mm / 1,583mm","1,570kg",225mm / 50 / 17inch,225mm / 50 / 17inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,5링크 액슬,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,6.1초
1695,2014 SM5,I4 CVTC II,자연흡기,가솔린,"1,998cc",141hp,19.8kg.m,"복합 12.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",138g/km,"4,885mm / 1,860mm","1,485mm / 2,760mm","1,565mm / 1,565mm","1,415kg",205~225mm / 45~60 / 16~18inch,205~225mm / 45~60 / 16~18inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
1696,2013 렉서스 RX,V6 3.5,자연흡기,가솔린,"3,456cc",277hp,35.3kg.m,"복합 8.3km/ℓ 도심 0~7.4km/ℓ, 고속 0~9.8km/ℓ",215g/km,"4,770mm / 1,885mm","1,685mm / 2,740mm","1,630mm / 1,625mm","2,060kg",235mm / 55~60 / 18~19inch,235mm / 55~60 / 18~19inch,상시사륜 구동,자동6단,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,180km/h,7.8초
