,종합점수,주행,가격,거주성,품질,디자인,연비_y,복합연비,연료,연도,차급,브랜드,CO₂ 배출량
561,8.7,9.3,7.8,8.6,8.9,9.6,8.2,8.1,가솔린,2017,경차,메르세데스-벤츠,
562,9.2,9.8,8.9,8.8,9.5,9.6,9.0,10.9,가솔린,2019,경차,BMW,153g/km
565,9.0,9.1,9.2,8.7,8.6,9.4,9.0,13.3,가솔린,2021,경차,현대,121~125g/km
566,8.7,9.2,8.4,9.2,8.6,9.3,7.6,11.0,디젤,2021,경차,기아,176g/km
568,8.8,9.6,7.9,9.4,9.6,9.1,7.3,16.4,가솔린,2016,경차,렉서스,103g/km
571,8.2,9.5,8.1,7.3,8.9,9.6,5.9,10.4,가솔린,2020,경차,제네시스,156~161g/km
572,9.2,9.8,8.9,8.8,9.5,9.6,9.0,12.4,가솔린,2023,경차,BMW,135g/km
574,8.4,8.8,8.5,8.9,8.4,8.9,7.2,10.3,디젤,2015,경차,기아,197g/km
575,8.0,8.5,8.2,8.2,8.0,8.2,6.9,9.5,디젤,2015,경차,현대,183~214g/km
576,9.0,9.8,8.2,8.6,9.4,9.9,7.9,11.9,디젤,2024,경차,BMW,161g/km
578,8.6,9.3,7.6,9.3,9.3,9.7,6.3,9.3,가솔린,2024,경차,제네시스,183g/km
579,8.7,10.0,8.9,8.1,9.6,9.9,5.5,6.8,가솔린,2023,경차,BMW,256g/km
580,8.8,8.9,8.9,8.5,8.5,9.1,9.0,12.1,가솔린,2021,경차,기아,139g/km
582,8.9,9.6,8.2,8.1,8.9,9.7,8.6,9.5,가솔린,2020,경차,메르세데스-벤츠,
584,9.5,9.6,8.9,9.6,9.7,9.6,9.8,9.6,가솔린,2023,경차,렉서스,175g/km
586,9.0,9.7,8.6,9.4,9.1,9.3,7.9,13.7,디젤,2014,경차,BMW,145g/km
587,8.5,9.0,7.0,7.9,8.7,9.3,9.2,17.0,가솔린,2024,경차,르노코리아,91~93g/km
588,9.0,9.6,8.2,9.3,9.2,9.5,8.5,4.1,전기,2023,대형/프리미엄,메르세데스-벤츠,
